id,timestamp_s,latency_ms
1,0.023006,51.104
2,0.041487,41.515
3,0.136371,47.689
4,0.193760,39.971
5,0.392504,64.503
6,0.459533,41.808
7,0.624321,49.301
8,0.626436,44.612
9,0.678274,93.694
10,0.736419,98.449
11,0.763916,96.139
12,0.769827,104.236
13,0.879877,87.235
14,0.957953,73.509
15,0.958746,60.086
16,0.981371,50.424
17,0.982220,49.229
18,1.149057,204.842
19,1.189472,54.674
20,1.202754,68.350
21,1.208867,57.914
22,1.222207,49.966
23,1.300123,131.339
24,1.350018,90.888
25,1.400942,146.997
26,1.447007,94.135
27,1.464874,51.882
28,1.469571,273.758
29,1.477196,44.030
30,1.535735,59.475
31,1.598319,107.633
32,1.643520,58.157
33,1.669070,103.186
34,1.716608,108.810
35,1.755854,96.402
36,1.776364,57.255
37,1.801012,43.736
38,1.891079,57.187
39,1.966982,93.314
40,1.976613,55.757
41,1.992833,51.960
42,1.994962,88.471
43,2.012547,128.585
44,2.044388,43.991
45,2.187604,150.288
46,2.234001,65.573
47,2.268865,52.977
48,2.391363,55.682
49,2.444515,69.057
50,2.478893,113.567
51,2.500323,63.076
52,2.570464,55.747
53,2.586772,80.795
54,2.613628,64.981
55,2.618309,63.034
56,2.645292,43.603
57,2.650456,101.503
58,2.746028,33.170
59,2.809323,64.564
60,2.848826,84.103
61,2.891994,97.476
62,2.894305,54.639
63,2.905930,67.900
64,2.911990,85.317
65,2.999044,83.873
66,3.082270,62.272
67,3.126188,60.686
68,3.141720,65.776
69,3.274377,54.281
70,3.321104,58.801
71,3.361796,80.048
72,3.374321,57.870
73,3.458121,140.659
74,3.495897,27.271
75,3.512345,168.153
76,3.668713,48.738
77,3.672937,34.188
78,3.734611,55.169
79,3.787791,54.229
80,3.860086,54.273
81,3.905450,74.811
82,3.907027,68.001
83,3.962536,68.817
84,3.988245,84.168
85,4.162723,49.586
86,4.215131,34.776
87,4.226543,65.190
88,4.228238,61.905
89,4.262386,59.302
90,4.288903,32.064
91,4.315717,58.269
92,4.318633,96.265
93,4.339014,68.720
94,4.388658,52.896
95,4.462205,37.815
96,4.493698,87.546
97,4.592827,52.693
98,4.625005,84.402
99,4.630362,62.484
100,4.751885,68.326
101,4.755932,78.418
102,4.873008,90.535
